Wall time,Step,Value
1745681354.7016456,5,14.046025276184082
1745681375.7412019,15,11.1709566116333
1745681382.7637863,18,10.245485305786133
1745681396.937983,24,8.86343765258789
1745681423.894468,36,5.734008312225342
1745681432.230114,40,4.357748985290527
1745681436.620733,42,3.5200159549713135
1745681440.7128134,44,3.2335257530212402
1745681442.74683,45,2.9832191467285156
1745681446.8220017,47,2.8179678916931152
1745681459.08455,53,2.4502170085906982
1745681461.153765,54,2.296478748321533
1745681464.094613,55,2.31705641746521
1745681466.1226919,56,2.1803231239318848
1745681486.0586364,65,1.9773802757263184
1745681498.3198037,71,1.8717494010925293
1745681500.36096,72,1.7771254777908325
1745681502.4352124,73,1.6949009895324707
1745681504.4914978,74,2.0448646545410156
1745681514.9732893,79,1.8106896877288818
1745681532.3119605,87,1.5902128219604492
1745681548.1517932,94,1.4019196033477783
1745681565.6237884,102,1.542013168334961
1745681571.942966,105,1.5291410684585571
1745681574.0073488,106,1.4542410373687744
1745681588.362765,113,1.4360501766204834
1745681599.6479473,118,1.5198770761489868
1745681616.1570954,126,1.3581173419952393
1745681622.3729017,129,1.436174750328064
1745681624.5240445,130,1.3290538787841797
1745681643.8240795,139,1.3690898418426514
1745681647.9115975,141,1.3645867109298706
1745681649.9628575,142,1.4336445331573486
1745681667.604056,150,1.4248799085617065
1745681678.7666028,155,1.3790693283081055
1745681682.9715474,157,1.2786895036697388
1745681685.0552437,158,1.244214653968811
1745681693.2672944,162,1.2993457317352295
1745681703.9719865,167,1.3947067260742188
1745681706.127558,168,1.299105167388916
1745681712.441316,171,1.3055833578109741
1745681724.698983,177,1.2414534091949463
1745681726.7541525,178,1.3951317071914673
1745681737.7464628,183,1.2038971185684204
1745681741.933737,185,1.2426741123199463
1745681744.0099084,186,1.3043286800384521
1745681752.277966,190,1.1921526193618774
1745681754.331355,191,1.3922265768051147
1745681770.915362,198,1.246863603591919
1745681788.9081812,206,1.2054356336593628
1745681791.192414,207,1.2351876497268677
1745681793.3068085,208,1.2451523542404175
1745681802.1492567,212,1.245171070098877
1745681825.274545,223,1.2171274423599243
1745681837.8006074,229,1.2162114381790161
1745681844.328837,232,1.190219759941101
1745681848.4730253,234,1.2884929180145264
1745681854.661217,237,1.2029935121536255
1745681879.978458,249,1.2340220212936401
1745681893.4619095,255,1.2019639015197754
1745681903.8209789,260,1.135294795036316
1745681906.2078261,261,1.1958156824111938
1745681911.1899068,263,1.162718653678894
1745681919.8830452,267,1.1713283061981201
1745681929.2707796,271,1.1561613082885742
1745681933.482944,273,1.123867154121399
1745681944.1804204,278,1.1794240474700928
1745681973.9355195,292,1.092771053314209
1745681984.219238,297,1.1946676969528198
1745681986.2679482,298,1.219977855682373
1745681994.5553958,302,1.1025868654251099
1745681997.363813,303,1.0054813623428345
1745682007.4825716,307,1.1143970489501953
1745682009.541731,308,1.0518687963485718
1745682013.8086016,310,1.0651271343231201
1745682020.0616028,313,1.099807620048523
