Wall time,Step,Value
1745694152.2905152,5,13.975140571594238
1745694176.6034484,18,10.474859237670898
1745694187.877986,24,9.051495552062988
1745694218.0613754,40,4.621647834777832
1745694221.8251576,42,3.790081024169922
1745694227.4816284,45,3.011387825012207
1745694242.5743353,53,2.297985792160034
1745694248.2358122,56,2.3638923168182373
1745694276.5917363,71,1.9186416864395142
1745694282.2702382,74,1.9328402280807495
1745694320.4162364,94,1.5661216974258423
1745694335.6091661,102,1.5887506008148193
1745694343.2156603,106,1.5878325700759888
1745694381.2309065,126,1.497916340827942
1745694405.933583,139,1.5041618347167969
1745694426.8126311,150,1.4169200658798218
1745694436.3003275,155,1.2749109268188477
1745694441.9940462,158,1.2823606729507446
1745694459.1217792,167,1.3108294010162354
1745694479.9668832,178,1.2554830312728882
1745694489.4438024,183,1.2196452617645264
1745694493.2370403,185,1.2319635152816772
1745694495.1295638,186,1.2097491025924683
1745694502.7035363,190,1.3374742269515991
1745694534.9467423,207,1.2897347211837769
1745694565.251148,223,1.28813898563385
1745694576.6116889,229,1.3337669372558594
1745694586.0815728,234,1.1331241130828857
1745694614.494956,249,1.1890231370925903
1745694626.051032,255,1.1571061611175537
1745694635.5335984,260,1.157409906387329
1745694648.8054373,267,1.1782668828964233
1745694656.3998983,271,1.2578744888305664
1745694660.1964846,273,1.1693109273910522
1745694696.48848,292,1.103210687637329
1745694705.9961252,297,1.228430986404419
1745694717.3932571,303,1.1753132343292236
1745694726.8708305,308,1.069555640220642
1745694730.6668842,310,1.210714340209961
1745694745.8369765,318,1.0193336009979248
1745694768.6016295,330,1.1592341661453247
1745694785.6764436,339,1.02699613571167
1745694800.8554199,347,1.0128728151321411
1745694831.5743952,363,1.1012688875198364
1745694839.1555908,367,1.0791839361190796
1745694858.1104572,377,0.9999653100967407
1745694941.4717133,421,1.2297013998031616
1745694943.3648806,422,1.0530569553375244
1745694975.531466,439,1.017616629600525
1745694979.320836,441,1.0699931383132935
1745694981.2144635,442,1.047824501991272
1745694986.8960967,445,1.1244770288467407
1745695015.3031693,460,1.0627349615097046
1745695020.9816804,463,1.1137361526489258
1745695022.8742008,464,0.9732568860054016
1745695041.823908,474,0.9756143689155579
1745695074.0980172,491,1.0253397226333618
1745695077.8964155,493,1.0783365964889526
1745695117.7000008,514,1.0279748439788818
1745695123.3960032,517,0.9903202056884766
1745695138.5781307,525,1.0019052028656006
1745695149.964303,531,1.0751951932907104
1745695153.752189,533,0.994857668876648
1745695159.4405658,536,1.0368963479995728
1745695170.8142405,542,1.087060570716858
1745695180.2912154,547,1.0173312425613403
1745695200.2800744,557,1.0327298641204834
1745695211.6573155,563,1.0106182098388672
1745695230.6160064,573,1.0162041187286377
1745695241.9742494,579,1.0694948434829712
1745695245.7622695,581,1.0825135707855225
1745695255.2278361,586,0.9631328582763672
1745695257.120614,587,1.073957085609436
1745695285.4998724,602,0.9605455994606018
1745695319.5388217,620,1.03858482837677
1745695323.3295631,622,1.1101562976837158
1745695346.0638337,634,0.9649294018745422
1745695359.3210607,641,1.0566855669021606
1745695361.215343,642,0.9518786668777466
1745695364.9976406,644,0.9360467195510864
